subject,word,entry_number,x,y,domain,pair,word1,x1,y1,word2,x2,y2,euclidean_distance
21466,soccer,2,114,162,sports,"soccer, baseball",soccer,114,162,baseball,349,276,261.19150062741323
21466,baseball,3,349,276,sports,NA,baseball,349,276,NA,NA,NA,NA
21466,hammer,1,362,169,tools,"hammer, screwdrive",hammer,362,169,screwdrive,237,166,125.03599481749245
21466,screwdrive,2,237,166,tools,NA,screwdrive,237,166,NA,NA,NA,NA
24628,Bat,1,178,277,animals,"Bat, Cat",Bat,178,277,Cat,270,278,92.00543462209176
24628,Cat,2,270,278,animals,"Cat, Dog",Cat,270,278,Dog,264,212,66.27216610312357
24628,Dog,3,264,212,animals,"Dog, mouse",Dog,264,212,mouse,259,147,65.19202405202648
24628,mouse,4,259,147,animals,"mouse, bear",mouse,259,147,bear,350,278,159.5054857990784
24628,bear,5,350,278,animals,"bear, tiger",bear,350,278,tiger,356,213,65.27633568147036
24628,tiger,6,356,213,animals,"tiger, lion",tiger,356,213,lion,363,149,64.38167441127949
24628,lion,7,363,149,animals,"lion, goat",lion,363,149,goat,446,286,160.18114745499858
24628,goat,8,446,286,animals,"goat, sheep",goat,446,286,sheep,447,218,68.00735254367721
24628,sheep,9,447,218,animals,"sheep, cow",sheep,447,218,cow,453,156,62.289646009589745
24628,cow,10,453,156,animals,"cow, horse",cow,453,156,horse,456,93,63.071388124885914
24628,horse,11,456,93,animals,"horse, whale",horse,456,93,whale,82,287,421.321729798025
24628,whale,12,82,287,animals,"whale, shark",whale,82,287,shark,88,229,58.309518948453004
24628,shark,13,88,229,animals,"shark, dolphin",shark,88,229,dolphin,76,178,52.392747589718944
24628,dolphin,14,76,178,animals,"dolphin, fly",dolphin,76,178,fly,182,214,111.94641575325224
24628,fly,15,182,214,animals,"fly, bird",fly,182,214,bird,186,156,58.137767414994535
24628,bird,16,186,156,animals,"bird, bee",bird,186,156,bee,177,96,60.67124524847005
24628,bee,17,177,96,animals,"bee, squirrel",bee,177,96,squirrel,551,241,401.1246688998322
24628,squirrel,18,551,241,animals,"squirrel, turtle",squirrel,551,241,turtle,685,235,134.13426109685773
24628,turtle,19,685,235,animals,"turtle, zebra",turtle,685,235,zebra,458,35,302.5376009688713
24628,zebra,20,458,35,animals,"zebra, ox",zebra,458,35,ox,472,8,30.4138126514911
24628,ox,21,472,8,animals,"ox, dinosaur",ox,472,8,dinosaur,677.5,285,344.90469698164446
24628,dinosaur,22,677.5,285,animals,"dinosaur, knat",dinosaur,677.5,285,knat,181,40,553.6580623453433
24628,knat,23,181,40,animals,"knat, cougar",knat,181,40,cougar,351,94,178.3704011320264
24628,cougar,24,351,94,animals,"cougar, deer",cougar,351,94,deer,480,63,132.67252918370102
24628,deer,25,480,63,animals,"deer, eagle",deer,480,63,eagle,174,0,312.41798923877604
24628,eagle,26,174,0,animals,"eagle, finch",eagle,174,0,finch,571,163,429.15964395548656
24628,finch,27,571,163,animals,"finch, fish",finch,571,163,fish,95,129,477.2127408190188
24628,fish,28,95,129,animals,"fish, horse",fish,95,129,horse,458,16,380.1815355853043
24628,horse,29,458,16,animals,"horse, kangaroo",horse,458,16,kangaroo,338,44,123.2233744059949
24628,kangaroo,30,338,44,animals,"kangaroo, lima",kangaroo,338,44,lima,360,183,140.73023839957068
24628,lima,31,360,183,animals,"lima, lynx",lima,360,183,lynx,575,212,216.9469981354893
24628,lynx,32,575,212,animals,"lynx, monkey",lynx,575,212,monkey,164,312,422.9905436295237
24628,monkey,33,164,312,animals,"monkey, himan",monkey,164,312,himan,265,115,221.38202275704322
24628,himan,34,265,115,animals,"himan, moose",himan,265,115,moose,263,194,79.02531240052139
24628,moose,35,263,194,animals,NA,moose,263,194,NA,NA,NA,NA
24628,Pencil,1,137,352,classroom-items,"Pencil, Pens",Pencil,137,352,Pens,149,342,15.620499351813308
24628,Pens,2,149,342,classroom-items,"Pens, computer",Pens,149,342,computer,260,352,111.44954015158609
24628,computer,3,260,352,classroom-items,"computer, chairs",computer,260,352,chairs,396,343,136.2974687952788
24628,chairs,4,396,343,classroom-items,"chairs, pictures",chairs,396,343,pictures,507,348,111.11255554616679
24628,pictures,5,507,348,classroom-items,"pictures, lights",pictures,507,348,lights,634,346,127.01574705523721
24628,lights,6,634,346,classroom-items,"lights, windows",lights,634,346,windows,642,317,30.083217912982647
24628,windows,7,642,317,classroom-items,"windows, walls",windows,642,317,walls,669,292,36.796738985948195
24628,walls,8,669,292,classroom-items,"walls, floor",walls,669,292,floor,677,286,10
24628,floor,9,677,286,classroom-items,"floor, heating units",floor,677,286,heating units,643,273,36.40054944640259
24628,heating units,10,643,273,classroom-items,"heating units, plants",heating units,643,273,plants,509,316,140.73023839957068
24628,plants,11,509,316,classroom-items,"plants, chalk",plants,509,316,chalk,130,334,379.42719986843326
24628,chalk,12,130,334,classroom-items,"chalk, dry erase markers",chalk,130,334,dry erase markers,67,331,63.071388124885914
24628,dry erase markers,13,67,331,classroom-items,"dry erase markers, dry erase board",dry erase markers,67,331,dry erase board,48,339,20.615528128088304
24628,dry erase board,14,48,339,classroom-items,"dry erase board, bookshelf",dry erase board,48,339,bookshelf,389,324,341.3297525853848
24628,bookshelf,15,389,324,classroom-items,"bookshelf, closet",bookshelf,389,324,closet,391,311,13.152946437965905
24628,closet,16,391,311,classroom-items,"closet, coat rack",closet,391,311,coat rack,391,322,11
24628,coat rack,17,391,322,classroom-items,"coat rack, floor mat",coat rack,391,322,floor mat,382,280,42.95346318982906
24628,floor mat,18,382,280,classroom-items,"floor mat, speakers",floor mat,382,280,speakers,261,341,135.50645741070792
24628,speakers,19,261,341,classroom-items,"speakers, projector",speakers,261,341,projector,260,334,7.0710678118654755
24628,projector,20,260,334,classroom-items,"projector, water bottles",projector,260,334,water bottles,497,302,239.1505801790997
24628,water bottles,21,497,302,classroom-items,"water bottles, paper",water bottles,497,302,paper,127,341,372.0497278590592
24628,paper,22,127,341,classroom-items,"paper, color pensils",paper,127,341,color pensils,95,317,40
24628,color pensils,23,95,317,classroom-items,"color pensils, tape",color pensils,95,317,tape,87,308,12.041594578792296
24628,tape,24,87,308,classroom-items,"tape, tabs",tape,87,308,tabs,118,347,49.8196748283246
24628,tabs,25,118,347,classroom-items,"tabs, scanners",tabs,118,347,scanners,272,321,156.1793840428371
24628,scanners,26,272,321,classroom-items,"scanners, doors",scanners,272,321,doors,734,287,463.24939287601876
24628,doors,27,734,287,classroom-items,NA,doors,734,287,NA,NA,NA,NA
24628,hat,1,263,248,clothes,"hat, scarf",hat,263,248,scarf,285,314,69.57010852370435
24628,scarf,2,285,314,clothes,"scarf, ear muffs",scarf,285,314,ear muffs,283,284,30.066592756745816
24628,ear muffs,3,283,284,clothes,"ear muffs, shirt",ear muffs,283,284,shirt,516,340,239.63513932643517
24628,shirt,4,516,340,clothes,"shirt, blouse",shirt,516,340,blouse,507,306,35.17101079013795
24628,blouse,5,507,306,clothes,"blouse, t-shirt",blouse,507,306,t-shirt,513,289,18.027756377319946
24628,t-shirt,6,513,289,clothes,"t-shirt, dress",t-shirt,513,289,dress,674,306,161.89502771858065
24628,dress,7,674,306,clothes,"dress, coat",dress,674,306,coat,304,255,373.4983266361444
24628,coat,8,304,255,clothes,"coat, pants",coat,304,255,pants,59,320,253.4758371127315
24628,pants,9,59,320,clothes,"pants, shorts",pants,59,320,shorts,43,292,32.2490309931942
24628,shorts,10,43,292,clothes,"shorts, socks",shorts,43,292,socks,617,55,621.003220603565
24628,socks,11,617,55,clothes,"socks, shoes",socks,617,55,shoes,595,80,33.301651610693426
24628,shoes,12,595,80,clothes,"shoes, slippers",shoes,595,80,slippers,605,100,22.360679774997898
24628,slippers,13,605,100,clothes,"slippers, pajamas",slippers,605,100,pajamas,42,273,588.9804750583843
24628,pajamas,14,42,273,clothes,"pajamas, gloves",pajamas,42,273,gloves,325,272,283.0017667789373
24628,gloves,15,325,272,clothes,"gloves, raincoat",gloves,325,272,raincoat,700,283,375.16129864366343
24628,raincoat,16,700,283,clothes,"raincoat, panties",raincoat,700,283,panties,343,88,406.78495547401945
24628,panties,17,343,88,clothes,"panties, bra",panties,343,88,bra,347,98,10.770329614269007
