SID,response,entry,entry_number,response_times
H6D2C4VR,Roald Dahl,roald dahl,4,4281
H6D2C4VR,Marcus Aurelius,marcus aurelius,5,5309
H6D2C4VR,Sankofa,sankofa,6,5102
H6D2C4VR,Karl Marx,karl marx,7,2937
H6D2C4VR,Vladimir Lenin,vladimir lenin,8,4817
H6D2C4VR,Mao Zedong,mao zedong,9,3490
H6D2C4VR,Joseph Stalin,joseph stalin,10,3247
H6D2C4VR,Adolf Hitler,adolf hitler,11,4397
H6D2C4VR,Barack Obama,barack obama,12,6955
H6D2C4VR,Donald Trump,donald trump,13,2878
H6D2C4VR,Andrew Wakefield,andrew wakefield,14,3184
HCBTBYHS,JK Rowling,j. k. rowling,1,3901
HCBTBYHS,Dr Seuss,dr. seuss,2,2454
HCBTBYHS,Colleen Hoover,colleen hoover,3,5534
HCBTBYHS,Karen McManus,karen m. mcmanus,4,4027
HCBTBYHS,Rachel Reid,rachel reid,5,2021
HCBTBYHS,Jane Austen,jane austen,6,7817
HCBTBYHS,Agatha Christie,agatha christie,7,2887
HCBTBYHS,Freida McMannen,freida mcmannon,8,7242
HCBTBYHS,Stuart Gibb,stuart gibbs,9,18529
HZP27937,coleen ho,colleen hoover,1,8013
HZP27937,John gree,john green,2,3863
HZP27937,Jane austn,jane austen,3,26096
HZP27937,shakespere,shakespeare,4,20269
IEOJ1IW3,tim o'brien,tim o'brien,1,5340.1
IEOJ1IW3,kate o'hearn,kate o'hearn,2,4032.7
IEOJ1IW3,william faulkner,william faulkner,3,2677.8
IEOJ1IW3,jrr tolkien,j. r. r. tolkien,4,18755.8
IEOJ1IW3,jk rowling,j. k. rowling,5,14918.8
IN92PH3J,agatha christie,agatha christie,1,3483.9
IN92PH3J,khalid hosseini,khaled hosseini,2,3996.2
IN92PH3J,dan brown,dan brown,3,3335.9
IN92PH3J,charles dickens,charles dickens,4,4347.8
IRFHWRXF,holly jackson,holly jackson,1,3069.8
IRFHWRXF,martha stewart,martha stewart,2,2739.1
IRFHWRXF,matt craig,matt craig,3,1749.4
IRFHWRXF,gillian mcallister,gillian mcallister,4,7088.5
IRFHWRXF,stuart turton,stuart turton,5,2034
IRFHWRXF,jane austen,jane austen,6,2385.4
IRFHWRXF,george orwell,george orwell,7,2558.5
IRFHWRXF,virginia wolff,virginia woolf,8,2211.6
IRFHWRXF,james joyce,james joyce,9,3193.6
IRFHWRXF,jane eyre,jane eyre,10,5410.9
IRFHWRXF,emily bronte,emily brontë,11,2756.9
IRFHWRXF,abveh kahbar,abveh kahbar,12,19401.8
J8N7DCDH,colleen hoover,colleen hoover,1,5816
J8N7DCDH,rj shine,r. j. shine,2,8674
J8N7DCDH,Micchelle obama,michelle obama,3,19477
J8N7DCDH,malala,malala yousafzai,4,2983
J8N7DCDH,obama,barack obama,5,18540
J8N7DCDH,obama,barack obama,6,1938
JDVDZARM,StephenKing,stephen king,1,3554.7
JDVDZARM,Sara J Maas,sarah j. maas,2,8111.1
JDVDZARM,Bradbury,ray bradbury,3,5202.6
JDVDZARM,Steinbeck,john steinbeck,4,6016.9
JDVDZARM,Poe,edgar allan poe,5,9617.6
JDVDZARM,Sparks,nicholas sparks,6,5232.6
JDVDZARM,Asamov,isaac asimov,7,9415.6
JDVDZARM,Maaj,maaj,8,12021.2
JEW0DH9D,george orwell,george orwell,1,6550.1
JEW0DH9D,dr sues,dr. seuss,2,6837.8
JEW0DH9D,toni morrison,toni morrison,3,3060.9
JEW0DH9D,john lewis,john lewis,4,24089.7
JEW0DH9D,malala,malala yousafzai,5,9897.4
JIMIPV7S,brandon sanderson,brandon sanderson,1,3493.3
JIMIPV7S,jk rowling,j. k. rowling,2,2858.4
JIMIPV7S,jrr tolkien,j. r. r. tolkien,3,3325.1
JIMIPV7S,george rr martin,george r. r. martin,4,5611
JIMIPV7S,leo tolstoy,leo tolstoy,5,8996.6
JIMIPV7S,william shakespeare,william shakespeare,6,6358.4
JIMIPV7S,margaret atwood,margaret atwood,7,6282.9
JIMIPV7S,cs lewis,c. s. lewis,8,13384.9
K6LTYZJH,lorraine hansberry,lorraine hansberry,1,6603
K6LTYZJH,langston hughes,langston hughes,2,7237
K6LTYZJH,jk rowling,jk rowling,3,6317
K6LTYZJH,jd salinger,jd salinger,4,17560
K6LTYZJH,rf kuang,rf kuang,5,15893
K6LTYZJH,hanya yanighara,hanya yanagihara,6,5225
KMXD4OZC,woolfe,woolf,1,2749
KMXD4OZC,jk rowling,j.k. rowling,2,2614.4
KMXD4OZC,brandon sanderson,brandon sanderson,3,4370.8
KMXD4OZC,toni morrison,toni morrison,4,7966.6
KMXD4OZC,bell hooks,bell hooks,5,1612.6
KMXD4OZC,james baldwin,james baldwin,6,2036
KMXD4OZC,putnam,putnam,7,22957
KMXD4OZC,graham allison,graham allison,8,5100
KZ9S5MPC,JK Rowling,j.k. rowling,1,3694
KZ9S5MPC,Octavia Butler,octavia butler,2,4647
KZ9S5MPC,James Baldwin,james baldwin,3,3223
KZ9S5MPC,Sarah J Maas,sarah j. maas,4,7591
KZ9S5MPC,Ezra Klein,ezra klein,5,19424
LJSMGNV0,Andy Weir,andy weir,1,2315
LJSMGNV0,Hawthorne,nathaniel hawthorne,2,6523
LJSMGNV0,Henry Wadsworth Longfellow,henry wadsworth longfellow,3,5761
