subject,response,entry_number,response_times,domain
0L28O7LJ,government,16,1049.6,college_majors
0L28O7LJ,political science,17,4900.8,college_majors
0L28O7LJ,lana del rey,1,4539,musicians
0L28O7LJ,frank sinatra,2,2940,musicians
0L28O7LJ,jeff buckley,3,15722.7,musicians
0L28O7LJ,jhene aiko,4,3733.8,musicians
0L28O7LJ,the weeknd,5,10660.1,musicians
0L28O7LJ,taylor swift,6,3238.5,musicians
0L28O7LJ,ariana grande,7,7453.6,musicians
0L28O7LJ,miley cyrus,8,6108.1,musicians
0L28O7LJ,demi lovato,9,2244.1,musicians
0L28O7LJ,cher lloyd,10,2522.3,musicians
0L28O7LJ,eileen gu,1,2533.8,sportspersons
0L28O7LJ,chloe kim,2,2833.7,sportspersons
0L28O7LJ,stephen curry,3,5366.4,sportspersons
0L28O7LJ,jimmy butler,4,5383.6,sportspersons
0L28O7LJ,tatum,5,27000.4,sportspersons
0L28O7LJ,alysa lui,6,12949.9,sportspersons
0MGC7F4K,zebra,1,1370.6,animals
0MGC7F4K,giraffe,2,2349.9,animals
0MGC7F4K,worm,3,2898.9,animals
0MGC7F4K,cow,4,2115.7,animals
0MGC7F4K,pig,5,1680.7,animals
0MGC7F4K,chicken,6,4468.4,animals
0MGC7F4K,dog,7,1636.8,animals
0MGC7F4K,cat,8,867.1,animals
0MGC7F4K,hamster,9,2583.7,animals
0MGC7F4K,guniea pig,10,3633.9,animals
0MGC7F4K,squirrel,11,7448.7,animals
0MGC7F4K,lion,12,2916.9,animals
0MGC7F4K,deer,13,3033.6,animals
0MGC7F4K,elk,14,1023.1,animals
0MGC7F4K,moose,15,925.7,animals
0MGC7F4K,bird,16,1575.4,animals
0MGC7F4K,eagle,17,3242.4,animals
0MGC7F4K,vulture,18,4266.3,animals
0MGC7F4K,polar bear,19,3532.6,animals
0MGC7F4K,penguin,20,1430.7,animals
0MGC7F4K,fish,21,2543.9,animals
0MGC7F4K,shark,22,4074.3,animals
0MGC7F4K,JK Rowling,1,2960.1,authors
0MGC7F4K,James patterson,2,18313.4,authors
0MGC7F4K,Ernest Hemingway,3,31093.6,authors
0MGC7F4K,Poe,4,3650.1,authors
0MGC7F4K,Shakespare,5,3938.6,authors
0MGC7F4K,Biology,1,2150.9,college_majors
0MGC7F4K,Neuroscience,2,1792.3,college_majors
0MGC7F4K,Economics,3,2135.2,college_majors
0MGC7F4K,Government,4,2494.7,college_majors
0MGC7F4K,Psychology,5,4094.3,college_majors
0MGC7F4K,Sociology,6,1883.5,college_majors
0MGC7F4K,Chemistry,7,1465.5,college_majors
0MGC7F4K,Physics,8,1157.3,college_majors
0MGC7F4K,Math,9,851.2,college_majors
0MGC7F4K,Environmental Studies,10,9118.3,college_majors
0MGC7F4K,Engineering,11,4985.4,college_majors
0MGC7F4K,Art,12,2939.1,college_majors
0MGC7F4K,Music,13,872,college_majors
0MGC7F4K,Philosophy,14,6220.4,college_majors
0MGC7F4K,Film Production,15,6457.5,college_majors
0MGC7F4K,Taylor Swift,1,7099.8,musicians
0MGC7F4K,Miles Davis,2,5572.4,musicians
0MGC7F4K,Me,3,8301.7,musicians
0MGC7F4K,Mozart,4,5242,musicians
0MGC7F4K,Beethoven,5,3667.6,musicians
0MGC7F4K,Vizutti,6,20249.9,musicians
0MGC7F4K,Serena Williams,1,3267.6,sportspersons
0MGC7F4K,Travis Kelce,2,10043.8,sportspersons
0PRAW6DO,Flamingos,1,3298.5,animals
0PRAW6DO,Lion,2,2415.3,animals
0PRAW6DO,Panda,3,2545.5,animals
0PRAW6DO,Octopus,4,5016.8,animals
0PRAW6DO,Bear,5,2700.7,animals
0PRAW6DO,Cat,6,2665.7,animals
0PRAW6DO,Dog,7,1232.6,animals
0PRAW6DO,Pig,8,4286.3,animals
0PRAW6DO,Cow,9,1960.3,animals
0PRAW6DO,Chicken,10,2108.1,animals
0PRAW6DO,Turkey,11,2363,animals
0PRAW6DO,Lizard,12,5297.5,animals
0PRAW6DO,Ant,13,4848.1,animals
0PRAW6DO,Snake,14,8942.2,animals
0PRAW6DO,Butterfly,15,3594.9,animals
0PRAW6DO,Whale,16,5566.9,animals
0PRAW6DO,C. S. Lewis,1,7118.3,authors
0PRAW6DO,Jane Austen,2,4987.9,authors
0PRAW6DO,Bronte sisters,3,5487.9,authors
0PRAW6DO,Gabrielle Zevin,4,27608,authors
0PRAW6DO,John Green,5,3304.5,authors
0PRAW6DO,Hanya Yanagihara,6,7099.6,authors
0PRAW6DO,chemistry,1,3314.9,college_majors
0PRAW6DO,math,2,1550,college_majors
0PRAW6DO,biology,3,1941.1,college_majors
0PRAW6DO,neuroscience,4,2539.5,college_majors
0PRAW6DO,anthropology,5,3743.9,college_majors
0PRAW6DO,psychology,6,2988.6,college_majors
0PRAW6DO,political science,7,7057.7,college_majors
0PRAW6DO,art,8,4461.6,college_majors
0PRAW6DO,dance,9,2547.2,college_majors
0PRAW6DO,theater,10,1620,college_majors
0PRAW6DO,english,11,8024.4,college_majors
0PRAW6DO,spanish,12,5280.1,college_majors
0PRAW6DO,Olivia Dean,1,3077.2,musicians
0PRAW6DO,Noah Kahan,2,2504.7,musicians
0PRAW6DO,Olivia Rodrigo,3,8299.1,musicians
0PRAW6DO,Ariana Grande,4,3627.8,musicians
0PRAW6DO,Sabrina Carpenter,5,4287.6,musicians
0PRAW6DO,Lizzy McAlpine,6,6065.8,musicians
0PRAW6DO,Miley Cirus,7,6230.5,musicians
0PRAW6DO,Jon Bellion,8,24331.7,musicians
0PRAW6DO,Messi,1,14789.1,sportspersons
0PRAW6DO,Ronaldo,2,5475.5,sportspersons
0QPSDFM3,giraffe,1,3041,animals
0QPSDFM3,lion,2,969.4,animals
0QPSDFM3,bird,3,1797.3,animals
0QPSDFM3,dolphin,4,1922.7,animals
0QPSDFM3,whale,5,960.5,animals
0QPSDFM3,orca,6,891.6,animals
0QPSDFM3,fish,7,2056.6,animals
0QPSDFM3,goldfish,8,2166.9,animals
0QPSDFM3,tiger,9,3076.5,animals
0QPSDFM3,leopard,10,3075.2,animals
0QPSDFM3,zebra,11,2989.9,animals
0QPSDFM3,horse,12,5925.8,animals
0QPSDFM3,rat,13,3010.1,animals
0QPSDFM3,mouse,14,3881.9,animals
0QPSDFM3,stinkbug,15,3191.7,animals
0QPSDFM3,deer,16,3724.9,animals
0QPSDFM3,bear,17,2073.1,animals
0QPSDFM3,polar bear,18,2072.6,animals
0QPSDFM3,elephant,19,3795.7,animals
0QPSDFM3,cow,20,5272.4,animals
0QPSDFM3,pig,21,941.4,animals
0QPSDFM3,sheep,22,1280.5,animals
0QPSDFM3,goat,23,1508,animals
0QPSDFM3,jk rowling,1,2339.4,authors
0QPSDFM3,rick riordan,2,3423.8,authors
0QPSDFM3,nate hawthorne,3,7317.7,authors
0QPSDFM3,j d salinger,4,6575,authors
0QPSDFM3,ernest hemingway,5,9957.6,authors
0QPSDFM3,emile zola,6,4674.7,authors
0QPSDFM3,charlotte bronte,7,10901.3,authors
0QPSDFM3,sinclair lewis,8,1876.8,authors
0QPSDFM3,gov,1,1962,college_majors
0QPSDFM3,bio,2,1341.5,college_majors
0QPSDFM3,chem,3,788.7,college_majors
0QPSDFM3,biochem,4,1520,college_majors
0QPSDFM3,english,5,1998.6,college_majors
0QPSDFM3,math,6,1031,college_majors
0QPSDFM3,physics,7,2887.1,college_majors
0QPSDFM3,astronomy,8,1874.2,college_majors
0QPSDFM3,architecture,9,2372.4,college_majors
0QPSDFM3,art,10,1351.7,college_majors
0QPSDFM3,visual studies,11,3301.2,college_majors
0QPSDFM3,french,12,1093.7,college_majors
0QPSDFM3,spanish,13,1075.1,college_majors
0QPSDFM3,italina,14,1500.3,college_majors
0QPSDFM3,german,15,1917.1,college_majors
0QPSDFM3,arabic,16,1122.6,college_majors
0QPSDFM3,comp sci,17,6173.5,college_majors
0QPSDFM3,dcs,18,1191.3,college_majors
0QPSDFM3,data science,19,2717.9,college_majors
0QPSDFM3,agriculture,20,1891.5,college_majors
0QPSDFM3,accounting,21,1457.4,college_majors
0QPSDFM3,econ,22,790.1,college_majors
0QPSDFM3,finance,23,933.6,college_majors
0QPSDFM3,business,24,1751.9,college_majors
0QPSDFM3,criminal justice,25,3549.4,college_majors
0QPSDFM3,geography,26,5799.7,college_majors
0QPSDFM3,taylor swift,1,2683.8,musicians
0QPSDFM3,benson boone,2,2852.1,musicians
0QPSDFM3,harry styles,3,3126,musicians
0QPSDFM3,zayn malik,4,4638.7,musicians
0QPSDFM3,hozier,5,2438.4,musicians
0QPSDFM3,noah kahan,6,4361.9,musicians
0QPSDFM3,lewis capaldi,7,14838,musicians
0QPSDFM3,avici,8,2641.4,musicians
0QPSDFM3,avril lavinge,9,6348.2,musicians
0QPSDFM3,kesha,10,6059.7,musicians
0QPSDFM3,ariana grande,11,5504.4,musicians
0QPSDFM3,michael phelps,1,3014.6,sportspersons
0QPSDFM3,katie ledecky,2,2431.1,sportspersons
0QPSDFM3,gretchen walsh,3,3017.3,sportspersons
0QPSDFM3,alex walsh,4,1549.7,sportspersons
0QPSDFM3,kate douglas,5,1743.5,sportspersons
0QPSDFM3,claire curzan,6,2929.1,sportspersons
0QPSDFM3,yousef ramadan,7,2354.5,sportspersons
0QPSDFM3,leon marchand,8,11141.8,sportspersons
0QPSDFM3,simone biles,9,2128.4,sportspersons
0QPSDFM3,naomi osaka,10,6700.9,sportspersons
0QPSDFM3,serena williams,11,8983.6,sportspersons
0QPSDFM3,venus williams,12,1975.3,sportspersons
0QPSDFM3,andre agassi,13,2710.9,sportspersons
18HXK612,frog,1,2118.1,animals
18HXK612,rabbit,2,2916.8,animals
18HXK612,cat,3,2424.9,animals
18HXK612,dog,4,1288.8,animals
18HXK612,tiger,5,1545.9,animals
18HXK612,lizzard,6,2745.4,animals
18HXK612,gecko,7,2970.1,animals
18HXK612,mole,8,1324.7,animals
18HXK612,rat,9,1155.2,animals
18HXK612,mouse,10,1490.4,animals
18HXK612,hawk,11,5498.2,animals
18HXK612,eagle,12,4930.8,animals
18HXK612,pidgeon,13,2387,animals
18HXK612,lion,14,1488.6,animals
18HXK612,jaguar,15,2345.4,animals
18HXK612,leopard,16,3078.8,animals
18HXK612,hyena,17,1725.5,animals
18HXK612,cheeta,18,5858.2,animals
18HXK612,lynx,19,4630.3,animals
18HXK612,meercat,20,3016.7,animals
18HXK612,worm,21,3670.3,animals
18HXK612,erin hunter,1,2817.5,authors
18HXK612,jk rowling,2,3511.6,authors
18HXK612,brandon sanderson,3,4683.1,authors
18HXK612,george rr martin,4,5957.1,authors
18HXK612,rick riordan,5,7054.3,authors
18HXK612,naomi novik,6,4522.2,authors
18HXK612,emily bronte,7,16227.4,authors
18HXK612,shakespeare,8,4692.2,authors
18HXK612,pscyhology,1,3078.1,college_majors
18HXK612,sociology,2,3203.9,college_majors
18HXK612,mathematics,3,3146.3,college_majors
18HXK612,enginearing,4,3452.7,college_majors
18HXK612,pre med,5,2017.9,college_majors
18HXK612,biology,6,2351.2,college_majors
18HXK612,chemistry,7,3016.9,college_majors
18HXK612,physics,8,2385.5,college_majors
18HXK612,english,9,2825.7,college_majors
18HXK612,history,10,2702.7,college_majors
18HXK612,anthropology,11,3197.2,college_majors
18HXK612,gender and sexuality studies,12,5191.9,college_majors
18HXK612,asian studies,13,2753.1,college_majors
18HXK612,accounting,14,5916.7,college_majors
18HXK612,computer science,15,6521.5,college_majors
18HXK612,dcs,16,3884,college_majors
18HXK612,taylor swift,1,4711.4,musicians
18HXK612,beyonce,2,2178.2,musicians
18HXK612,bruno mars,3,2354.1,musicians
18HXK612,olivia rodrigo,4,5354.6,musicians
18HXK612,panic at the disco,5,4816.3,musicians
18HXK612,nirvana,6,3131.4,musicians
18HXK612,lady gaga,7,3583.2,musicians
18HXK612,chappell roan,8,9755.9,musicians
18HXK612,greenday,9,5159.5,musicians
18HXK612,imagine dragons,10,7166.7,musicians
18HXK612,russel wilson,1,4315.5,sportspersons
18HXK612,babe ruth,2,4304.7,sportspersons
18HXK612,michael jordan,3,6618.9,sportspersons
18HXK612,tom brady,4,3998.7,sportspersons
18HXK612,wayne gretsky,5,8696.8,sportspersons
18HXK612,ronaldo,6,5072.1,sportspersons
18HXK612,aaron rodgers,7,17557.3,sportspersons
1KEVYYJ9,TIGER,1,3266.1,animals
1KEVYYJ9,LION,2,1281.3,animals
1KEVYYJ9,LIGER,3,1544.6,animals
1KEVYYJ9,PANTHER,4,1482.8,animals
1KEVYYJ9,CAT,5,1274.3,animals
1KEVYYJ9,DOG,6,1724.1,animals
1KEVYYJ9,DOLPHIN,7,1811.1,animals
1KEVYYJ9,WHALE,8,2036.2,animals
1KEVYYJ9,ORCA,9,1302.4,animals
1KEVYYJ9,MOSQUITO,10,5810.4,animals
1KEVYYJ9,RAT,11,2663.4,animals
1KEVYYJ9,MOUSE,12,1795,animals
1KEVYYJ9,BAT,13,981.6,animals
1KEVYYJ9,CHIMPANZEE,14,5466.8,animals
1KEVYYJ9,GORILLA,15,2400.6,animals
1KEVYYJ9,HUMAN,16,1585,animals
1KEVYYJ9,STARFISH,17,14408.1,animals
1KEVYYJ9,NEMATOAD,18,4215.7,animals
1KEVYYJ9,MARY SHELLEY,1,9350.3,authors
1KEVYYJ9,ANNE FRANK,2,38424.6,authors
1KEVYYJ9,econ,1,3214.8,college_majors
1KEVYYJ9,BIO,2,2805.7,college_majors
1KEVYYJ9,BIOCHEM,3,2186.6,college_majors
1KEVYYJ9,CHEM,4,2963.8,college_majors
1KEVYYJ9,MATH,5,3116.9,college_majors
1KEVYYJ9,ENGINEERING,6,2282.3,college_majors
1KEVYYJ9,PHYSICS,7,2012.2,college_majors
1KEVYYJ9,EDUCATION,8,5315.9,college_majors
1KEVYYJ9,ENGLISH,9,3456.1,college_majors
1KEVYYJ9,ENV STUDIES,10,6902.8,college_majors
1KEVYYJ9,HISTORY,11,8559.1,college_majors
1KEVYYJ9,ASIAN STUDIES,12,9596.4,college_majors
1KEVYYJ9,TYLER THE CREATOR,1,12922.7,musicians
1KEVYYJ9,TAYLOR SWIFT,2,5107.3,musicians
1KEVYYJ9,BENNY BLANCO,3,8422.7,musicians
1KEVYYJ9,BAD BUNNY,4,12046.8,musicians
1KEVYYJ9,DEFTONES,5,5504.1,musicians
1KEVYYJ9,KORN,6,2244.3,musicians
1KEVYYJ9,FABVL,7,5749.5,musicians
1KEVYYJ9,RUSTAGE,8,4891.4,musicians
1KEVYYJ9,lebron,1,3251.6,sportspersons
1KEVYYJ9,messi,2,2226.3,sportspersons
1KEVYYJ9,shaq,3,5870,sportspersons
1KEVYYJ9,ronaldo,4,15037.7,sportspersons
1KEVYYJ9,kobe,5,11935.5,sportspersons
20ISZCV2,dog,1,3287,animals
20ISZCV2,monkey,2,1539,animals
20ISZCV2,fish,3,1323,animals
20ISZCV2,bird,4,1348,animals
20ISZCV2,cat,5,794,animals
20ISZCV2,groundhog,6,6087,animals
20ISZCV2,lion,7,5071,animals
20ISZCV2,catfish,8,3571,animals
20ISZCV2,leopard,9,4278,animals
20ISZCV2,wolf,10,2700,animals
20ISZCV2,flounder,11,22615,animals
20ISZCV2,Jane Austen,1,3572,authors
20ISZCV2,neuroscience,1,3006,college_majors
20ISZCV2,spanish,2,3033,college_majors
20ISZCV2,italian,3,1597,college_majors
20ISZCV2,French,4,1205,college_majors
20ISZCV2,biology,5,1893,college_majors
20ISZCV2,chemistry,6,1807,college_majors
20ISZCV2,biochemistry,7,2571,college_majors
20ISZCV2,communications,8,4455,college_majors
20ISZCV2,English,9,4169,college_majors
20ISZCV2,German,10,2195,college_majors
20ISZCV2,russian,11,1135,college_majors
20ISZCV2,Environmental science,12,10777,college_majors
20ISZCV2,gov,13,8630,college_majors
20ISZCV2,history,14,1946,college_majors
20ISZCV2,comp sci,15,5125,college_majors
20ISZCV2,math,16,2239,college_majors
20ISZCV2,Gladys Knight,1,6410,musicians
20ISZCV2,Amy Winehouse,2,2802,musicians
20ISZCV2,SZA,3,2737,musicians
20ISZCV2,Drake,4,1739,musicians
20ISZCV2,Sia,5,7213,musicians
20ISZCV2,Adele,6,1231,musicians
20ISZCV2,Beyonce,7,10427,musicians
20ISZCV2,Jay z,8,19256,musicians
20ISZCV2,Kanye west,9,2866,musicians
20ISZCV2,Tom Brady,1,6173,sportspersons
20ISZCV2,Micheal Jordan,2,9494,sportspersons
20ISZCV2,Big papi,3,17245,sportspersons
20ISZCV2,tiger woods,4,9268,sportspersons
20ISZCV2,drew breeze,5,10627,sportspersons
20ISZCV2,jj watt,6,5199,sportspersons
2BD455O0,giraffe,1,1726.2,animals
2BD455O0,elephant,2,1082.7,animals
2BD455O0,fish,3,2019.3,animals
2BD455O0,shark,4,1071.2,animals
2BD455O0,human,5,2635.9,animals
2BD455O0,chimpanzee,6,3447.5,animals
2BD455O0,orangutan,7,1727.4,animals
2BD455O0,gorilla,8,1264.2,animals
2BD455O0,eel,9,1977.5,animals
2BD455O0,wildebeest,10,5963.8,animals
2BD455O0,toucan,11,977.3,animals
2BD455O0,canary,12,1631.5,animals
2BD455O0,macaw,13,2556.1,animals
2BD455O0,parakeet,14,2845.7,animals
2BD455O0,lion,15,2731.7,animals
2BD455O0,hyena,16,1019.2,animals
2BD455O0,tiger,17,791.4,animals
2BD455O0,yak,18,2011.1,animals
2BD455O0,horse,19,1763.2,animals
2BD455O0,cat,20,989.4,animals
2BD455O0,dog,21,775.3,animals
2BD455O0,falcon,22,5568.9,animals
2BD455O0,hawk,23,798.8,animals
2BD455O0,eagle,24,1126.5,animals
2BD455O0,trout,25,1700.1,animals
2BD455O0,salmon,26,1486.9,animals
2BD455O0,reindeer,27,2196.3,animals
2BD455O0,wolf,28,3899.6,animals
2BD455O0,ernest hemingway,1,4263.7,authors
2BD455O0,james baldwin,2,2905.6,authors
2BD455O0,charles dickens,3,5248.8,authors
2BD455O0,evelyn waugh,4,2488.4,authors
2BD455O0,wilkie collins,5,2371.8,authors
2BD455O0,michelle zauner,6,4016.4,authors
2BD455O0,rick riordan,7,2774.7,authors
2BD455O0,tan twan eng,8,2233.3,authors
2BD455O0,asako serizawa,9,3825.4,authors
2BD455O0,neal shusterman,10,4713.6,authors
2BD455O0,john green,11,2801.8,authors
2BD455O0,primo levi,12,4512.9,authors
2BD455O0,william shakespeare,13,9486.1,authors
2BD455O0,chemistry,1,3708.9,college_majors
2BD455O0,physics,2,2209.8,college_majors
2BD455O0,biology,3,1685.2,college_majors
2BD455O0,biochemistry,4,2410,college_majors
2BD455O0,economics,5,2349.7,college_majors
2BD455O0,political science,6,2557.2,college_majors
2BD455O0,government,7,1455.4,college_majors
2BD455O0,earth science,8,6614.1,college_majors
2BD455O0,english,9,2098.1,college_majors
2BD455O0,french,10,2835.5,college_majors
2BD455O0,spanish,11,2111.3,college_majors
2BD455O0,visual arts,12,6470.8,college_majors
2BD455O0,art history,13,2530.4,college_majors
2BD455O0,asian studies,14,9037.4,college_majors
2BD455O0,oceanography,15,4839.6,college_majors
2BD455O0,cinema studies,16,4537.6,college_majors
2BD455O0,adele,1,1489.4,musicians
2BD455O0,taylor swift,2,2151.1,musicians
2BD455O0,dacelynn,3,2216.3,musicians
